"",name,region,variety,rating,notes
13310,Chateau Smith Haut Lafitte (1.5 Liter Futures Pre-Sale) 2019,"Pessac-Leognan, Bordeaux, France",Red Wine,98,The Barrel Sample for this wine is above 14% ABV. 
13317,Chateau Smith Haut Lafitte (1.5 Liter Magnum) 2018,"Pessac-Leognan, Bordeaux, France",Red Wine,97,"Very deep, intense black color. The nose is already expressive with a mix of red and black (blackberry, blackcurrant, cherry, raspberry) and spices, characteristic of perfectly ripe grapes. Swirling in the glass reveals considerable complexity with delicate floral notes, sweet spices, and gunflint. The wine starts out broad-based, concentrated, and powerful on the palate. The tannin is rich without compromising on freshness, balance, and delicate flavors. The expression ""an iron first in a velvevt glove"" perfectly sums up this wine! "
13337,Chateau Smith Haut Lafitte (6-Pack OWC Futures Pre-Sale) 2018,"Pessac-Leognan, Bordeaux, France",Red Wine,97,"Very deep, intense black color. The nose is already expressive with a mix of red and black (blackberry, blackcurrant, cherry, raspberry) and spices, characteristic of perfectly ripe grapes. Swirling in the glass reveals considerable complexity with delicate floral notes, sweet spices, and gunflint. The wine starts out broad-based, concentrated, and powerful on the palate. The tannin is rich without compromising on freshness, balance, and delicate flavors. The expression ""an iron first in a velvevt glove"" perfectly sums up this wine! "
13338,Chateau Smith Haut Lafitte (6-Pack OWC Futures Pre-Sale) 2019,"Pessac-Leognan, Bordeaux, France",Red Wine,98,The Barrel Sample for this wine is above 14% ABV. 
13348,Chateau Smith Haut Lafitte (Futures Pre-Sale) 2018,"Pessac-Leognan, Bordeaux, France",Red Wine,97,"Very deep, intense black color. The nose is already expressive with a mix of red and black (blackberry, blackcurrant, cherry, raspberry) and spices, characteristic of perfectly ripe grapes. Swirling in the glass reveals considerable complexity with delicate floral notes, sweet spices, and gunflint. The wine starts out broad-based, concentrated, and powerful on the palate. The tannin is rich without compromising on freshness, balance, and delicate flavors. The expression ""an iron first in a velvevt glove"" perfectly sums up this wine! "
13349,Chateau Smith Haut Lafitte (Futures Pre-Sale) 2019,"Pessac-Leognan, Bordeaux, France",Red Wine,98,The Barrel Sample for this wine is above 14% ABV. 
13492,Chateau St. Jean Sonoma County Reserve Chardonnay 2002,"Sonoma County, California",White Wine,98,Selected as the highest-rated Chardonnay for the 2002 vintage by 
13764,Chateau Suduiraut (375ML half-bottle) 2001,"Sauternes, Bordeaux, France",Collectible,98, 
13853,Chateau Troplong Mondot (Futures Pre-Sale) 2019,"St. Emilion, Bordeaux, France",Red Wine,98,The Barrel Sample for this wine is above 14% ABV. 
13859,Chateau Trotanoy 2009,"Pomerol, Bordeaux, France",Red Wine,97,"For pairing with Bordeaux, look for the more refined and simply prepared cuts such as loin chops, rib chops and a rack of lamb. These classic dishes can be a divine pairing with Bordeaux. More aromatic, rustic and spicy preparations of lamb often call for a wine with a bit more of a chewy, rustic and herbal character."
13863,Chateau Trotte Vieille (Futures Pre-Sale) 2019,"St. Emilion, Bordeaux, France",Red Wine,97,"Blend: 49% Cabernet Franc, 48% Merlot, 3% Cabernet Sauvignon"
13868,Chateau Valandraud (Futures Pre-Sale) 2019,"St. Emilion, Bordeaux, France",Red Wine,97,"Blend: 90% Merlot, 7% Cabernet Franc, 3% Cabernet Sauvignon"
14044,Chris Ringland Shiraz 1998,"Barossa Valley, Barossa, South Australia, Australia",Red Wine,99,"We only get one bottle each year of the 1200 made.  Enjoy!A compelling effort from Chris Ringland (the name Three Rivers was dropped because of trademark litigation), this is his classic 1,200 bottle Shiraz cuvee from a 90-year old Barossa vineyard that yielded only one ton of fruit per acre. Aged in 300 liter French hogsheads (100% new) for 42 months prior to bottling, this is a prodigious offering from an exceptional vintage for South Australia. An inky purple color is followed by a gorgeous nose of minerals, blackberry liqueur, barbecue spices, sweet licorice, and a hint of white flowers. Remarkably concentrated, full-bodied, and unctuously-textured, its purity, definition, and compelling palate persistence as well as complexity are awesome. This is a magical wine from a winemaker who is a master craftsman. Anticipated maturity: 2008-2020+."
14045,Chris Ringland Shiraz 1999,"Barossa Valley, Barossa, South Australia, Australia",Red Wine,98,"We only get one bottle each year of the 1200 made.  Enjoy!The name Three Rivers was dropped because of trademark litigation.The Three Rivers Shiraz, which is aged 42 months in 100% new French oak, and is rarely racked until bottling, represents an extraordinary expression of Barossa Shiraz. The intense 1999, released in 2004, demonstrates that this vintage is somewhat underrated after all the hype over 1998. From a vineyard planted in 1910, its inky/purple color is accompanied by aromas of lavender, lard, smoke, licorice, blackberries, cassis, espresso roast, chocolate, and pepper. Full-bodied, slightly less voluminous than the perfect 1998, with an unctuous texture, sweet tannin, and a 70+ second finish, this magnificent, still young Shiraz should be accessible in 3-5 years, and last for two decades."
14121,Ciacci Piccolomini d'Aragona Brunello di Montalcino Pianrosso 1997,"Montalcino, Tuscany, Italy",Red Wine,97,"The bouquet is intense, complex, fruit-forward and spicy with hints of ripe red berry fruits enriched by various spicy notes. Warm, soft and harmonic on the palate. Great balance among pronounced tannins, acidity and savoriness. This elegant wine has good potential for further cellar aging."
14204,Clarendon Hills Astralis Syrah 1998,"McLaren Vale, South Australia, Australia",Red Wine,98,"The color is very dark blood red, almost black with just a little hint of purple. There is an immense variety of aromas greeting you when you first sniff this wine. Black cherries, blueberries and plums. There is an overriding sensation of earthy, mushroom like characters and more lifted aromas with licorice bark, coffee and vanilla. There are some hints of other spices as well with some nutmeg, cloves and fennel. All of this and more follows on the palate."
14208,Clarendon Hills Astralis Syrah 2006,"McLaren Vale, South Australia, Australia",Red Wine,98,"Blackened purple/crimson. Low altitude of aroma. Soft and elegant exhibition of black raspberry and grilled meat, blue berry muffin, dark milk chocolate, liquorice, coffee, choc cake, incense, cinnamon, freshly baked Christmas cake, iodine, graphite and crushed rock. Relatively closed nose in contrast to mouth filling flavours, although continually evolving in the glass. Overall, a vividly intense concentration of characters although it remains trapped in the tannin. An atypical Astralis that is slightly more savory profiled than recent '03 and '05. Cascades of flavor roll along the most refined and sublime expression of Syrah in the cellar. Varietal characters driven by ripe, precisely focused tannin structure that fills your mouth with thousands of finely grained particles- from the moment after consuming: the flavors glide from one to another and the texture remains."
14321,Classic McLaren La Testa Shiraz 1997,"McLaren Vale, South Australia, Australia",Red Wine,98,"Smooth, drying tannins, lively acid and pure, strong fruit combine to form a lean wine with a supple consistency and harmonious, sophisticated complexity. Dark berry fruit and milk chocolate flavors abound."
14352,Cliff Lede Beckstoffer To Kalon Vineyard Cabernet Sauvignon (1.5L Magnum) 2014,"Napa Valley, California",Red Wine,99,"Dark purple with vermillion-tinged edges, the plush and refreshing 2014 Stags Leap District Cabernet Sauvignon lures the taster with a multidimensional perfume that fills the glass with notes of jasmine, lavender, and spring flowers. Interwoven into the floral notes are unctuous layers of plum, blackberry, and black currants. Loads of smoked cardamom, cinnamon, and black licorice unwind onto the palate where the vibrant acidity carries the long finish to a state of balance and equilibrium. "
14353,Cliff Lede Beckstoffer To Kalon Vineyard Cabernet Sauvignon 2014,"Napa Valley, California",Red Wine,99,"Dark purple with vermillion-tinged edges, the plush and refreshing 2014 Stags Leap District Cabernet Sauvignon lures the taster with a multidimensional perfume that fills the glass with notes of jasmine, lavender, and spring flowers. Interwoven into the floral notes are unctuous layers of plum, blackberry, and black currants. Loads of smoked cardamom, cinnamon, and black licorice unwind onto the palate where the vibrant acidity carries the long finish to a state of balance and equilibrium. "
14367,Cliff Lede Poetry Cabernet Sauvignon 2012,"Stags Leap District, Napa Valley, California",Red Wine,98,"Beautiful and expressive, the 2012 Poetry bouquet emanates aromas of crushed blackberry, wild Maine blueberry, and Luxardo cherry. Layered with exotic spices of anise, cardamom, and a hint of white pepper, the flavors continue to reveal their complexity with black tea, sandalwood, and dried tobacco notes. This lush and seamless wine is a sensual experience from start to finish, from rare fruit and spice flavors to suede-like tannins and loads of crushed rock minerality. This powerful wine is delicious now, with decades of potential. "
14370,Cliff Lede Poetry Cabernet Sauvignon 2016,"Stags Leap District, Napa Valley, California",Red Wine,99,"Our captivating 2016 Poetry is an ode to symmetry and precision. This is the highest expression of our Stags Leap District estate vineyard and all of its irresistible components are well apportioned and fabulously integrated even at such at young age. Dense and brooding on opening, with time liquefied rocks, warm plum, black licorice, bay leaf, and sage soar from the first glass. Equal parts black currant and summer fig flavors coalesce on the expansive entry, while smoked cardamom and lavender aromas saturate the olfactory in a glorious cornucopia of ambrosial harmony. The voluptuous palate finishes with a wave of ultrafine tannins that unites for a seamless finale of gorgeous violet perfume. "
14379,Cliff Lede Scarlet Love Cabernet Sauvignon 2014,"Stags Leap District, Napa Valley, California",Red Wine,97,"Scarlet Love shows off the depth and quality of the terroir in Cliff Lede's little section of Stags Leap District. Aromas of Luxardo cherry, blackberry, and black licorice soar from the glass. Beautifully integrated and expressive, the bouquet is complex with layers of crushed rock minerality, dark chocolate, and sweet ripe fig. The cashmere-like tannins caress the palate and linger for a long epic finish."
14401,Cliff Lede Stardust Heaven Cabernet Sauvignon 2013,"Stags Leap District, Napa Valley, California",Red Wine,98,"Stardust Heaven shows what great Stags Leap District Cabernet Sauvignon has to offer. Dark and inviting, with enticing, explosive aromas of warm slate, black currants, and cassis, along with black licorice, and pain grille, this Cabernet is a sensual experience from start to finish. Silky and plush tannins combine with crushed rock and mineral notes, classic of the Stags Leap District, to make this wine irresistible now, but patience will be rewarded with cellar aging over the next twenty years."
14473,Clos d'Agon Emporda Tinto 2009,Spain,Red Wine,97,"The Celler Clos d'Agon was purchased by a group of friends from Switzerland in 1998, making a dream become reality for the new owners, all of whom are attached to the wine business either through distributing, retail sales or winery ownership. The winery itself is only 11 years old. Immediately hired was wizard winemaker, Peter Sisseck, to produce the first vintage of white and red, and who continues on as a consultant with winemaker, Susana Lopez. Excellent results are already evident; there is a complex, sophisticated white wine and a deeply concentrated, expressive red wine.  "
14500,Clos de l'Oratoire (Futures Pre-Sale) 2018,"St. Emilion, Bordeaux, France",Red Wine,97,"Clos de l'Oratoire is round, smooth, and very seductive. It has a beautiful deep crimson color and powerful fruity aromas. Merlot provides roundness and opulence, whereas Cabernet Franc contributes power, aromatic complexity, and a long aftertaste. Although Clos de l'Oratoire can be enjoyed seven years after the vintage, it is, above all, a wine with fine aging potential."
14531,Clos des Papes Chateauneuf-du-Pape (1.5 Liter Magnum) 2003,"Chateauneuf-du-Pape, Rhone, France",Red Wine,97,#2 
14533,Clos des Papes Chateauneuf-du-Pape (1.5 Liter Magnum) 2010,"Chateauneuf-du-Pape, Rhone, France",Red Wine,98, 
14537,Clos des Papes Chateauneuf-du-Pape 2003,"Chateauneuf-du-Pape, Rhone, France",Red Wine,97,#2 
14539,Clos des Papes Chateauneuf-du-Pape 2007,"Chateauneuf-du-Pape, Rhone, France",Red Wine,97,"Bright, fresh, peppery, black raspberry, kirsch, garrigue and fennel scents open to a rich, sweet, spicy plum and black cherry jam filled wine this is still young. "
14545,Clos des Papes Chateauneuf-du-Pape 2016,"Chateauneuf-du-Pape, Rhone, France",Red Wine,97,"Blend: 60% Grenache, 30% Mourvèdre, 10% Syrah "
14581,Clos du Caillou Chateauneuf-du-Pape Les Quartz 2001,"Chateauneuf-du-Pape, Rhone, France",Red Wine,99,"Blend: 85% Grenache, 15% Syrah"
14598,Clos du Caillou Chateauneuf-du-Pape Reserve 2007,"Chateauneuf-du-Pape, Rhone, France",Red Wine,98,"Of the three top Châteauneuf cuvées from this exacting estate, ""Reserve"" is its most seductive and certainly its most sought after, given how few bottles are produced (and only in the best years.) It gets its velvety texture and supple core from the sandy soils of the estate's two vineyards, ""Guigasse"" and ""Bédines,"" located just behind the estate's ""clos."" Its midnight-purple robe reminds us why this color historically was reserved for royalty. A wine that will practically strike you dumb with its concentrated core of black fruit; yes, you may have to lick the glass on this one. A blend of 70% Grenache and 30% Mourvèdre, aged in a combination of new and older demi-muid."
14599,Clos du Caillou Chateauneuf-du-Pape Reserve 2009,"Chateauneuf-du-Pape, Rhone, France",Red Wine,97,"The nose, very fine, with the delicacy of spicy pepper.  The mouth is elegant, classy, very complex with aromas of black fruit with pear and wild quince jam.  This wine shows a very great length and worthy of a great wine for aging. "
14600,Clos du Caillou Chateauneuf-du-Pape Reserve 2010,"Chateauneuf-du-Pape, Rhone, France",Red Wine,97,"This wine has a beautiful garnet red color. The nose has very elegant and complex aromas, where one discovers notes of balsamic, flint,  black fruit dessert and wild plum. The palate is dominated by ripe fruit, rich and balanced with lots of freshness. It combines red fruit aromas, blood orange, peppermint, prunes, licorice and blueberry coulis."
14721,Clos Fourtet (1.5 Liter Futures Pre-Sale) 2019,"St. Emilion, Bordeaux, France",Red Wine,97,"Blend: 90% Merlot, 7% Cabernet Sauvignon, 3% Cabernet Franc"
14729,Clos Fourtet (Futures Pre-Sale) 2019,"St. Emilion, Bordeaux, France",Red Wine,97,"Blend: 90% Merlot, 7% Cabernet Sauvignon, 3% Cabernet Franc"
14784,Clos Mogador Priorat 2001,"Priorat, Spain",Red Wine,97,"The wine shows an opaque black, purple colour and an intense complex bouquet of ripe fruit, wild herbs, toasted bread, spices and smoke. The palate is massive and well balanced with a fat richness, a dense structure of velvety tannins and a powerful, lively acidity. Flavours of cristalised fruit, pepper, chocolate, coffee and a whole panapoly of spices and herbs. On the long finish there are the unique mineral tones that make Priorat so special."
14786,Clos Mogador Priorat 2005,"Priorat, Spain",Red Wine,98,"""The 2005 Clos Mogador is the first wine in Spain entitled to the new classification of ""Vi de finca Qualificada"". The estate is 20 hectares composing a single vineyard. The Garnacha wines are 80+ years of age while the other varieties (Carinena, Cabernet Sauvignon, Syrah) have been planted since the early 1980s. Average yields are under 10 hectoliters per hectare and only 2000 cases are produced. The winery has never purchased outside fruit. The wine is deep purple-colored with a superb bouquet of toasty oak, pencil lead, mineral, blackberry and black cherry. This leads to an opulent, dense, packed, structured wine with 6-8 years of aging potential. Super-concentrated, sweetly-fruited, and complex, this tour de force of a wine will drink well from 2012 to 2040."""
14842,Clos Saint-Jean Deus Ex Machina Chateauneuf-du-Pape 2017,"Chateauneuf-du-Pape, Rhone, France",Red Wine,98,"Deus ex Machina is a literary and dramatic term for a miraculous intervention that interrupts a logical course of events in a plot or play. A suitable name for a cuvée that had it’s start in the torrid vintage of 2003 when Philippe Cambie and Vincent Maurel made the decision to harvest at the end of September, weeks after their neighbors. Deus ex Machina is a blend of old vine Grenache from La Crau, aged in tank with equally ancient Mourvedre from the sandy soils of Bois-Dauphin aged in demi-muid."
14846,Clos Saint-Jean La Combe des Fous Chateauneuf-du-Pape 2017,"Chateauneuf-du-Pape, Rhone, France",Red Wine,97,"Combe des Fous literally means, the hill of the fool. The hill, in this case, is located in the far southern reach of Le Crau which was left barren for many centuries because the layer of galets was so exceedingly deep that everyone assumed vines could never survive there. The fool in this situation is Edmund Tacussel, the great-great-grandfather of Vincent and Pascal Maruel who planted a Grenache vineyard on this site in 1905. That old-vine Grenache form the heart of this cuvée with a small amount of Syrah, Cinsault and Vaccarèse."
14847,Clos Saint-Jean Sanctus Sanctorum (1.5 Liter Magnum) 2012,"Chateauneuf-du-Pape, Rhone, France",Red Wine,97,"Clos Saint Jean produces a total of five different red Chateauneuf du Pape wines and one Chateauneuf du Pape Blanc. The estate believes in complete destemming, long macerations and while Grenache is not aged in wood, other varietals are aged in one year old, French oak barrels. "
14848,Clos Saint-Jean Sanctus Sanctorum (1.5 Liter Magnum) 2015,"Chateauneuf-du-Pape, Rhone, France",Red Wine,97,Sanctus Sanctorum is only made in the best vintages and is comprised of the oldest vines of Grenache (well over 100 years old) in Le Crau. It is aged entirely in demi-muid and bottled in magnum.
15046,Colgin IX Estate Red 2007,"Napa Valley, California",Red Wine,97,"The 2007 IX Estate Red is a strikingly deep ruby color and the nose a concentrated elixir of all the wonderful aromatics I love about IX Estate. In 2007, the flavors of the terroir are more dominant than ever. This vintage just has more of everything it seems. Terroir driven flavors of crushed rock, wet graphite, bay leaf and barbecue rub saturate the wine. Aromas of grilled meats, fennel seed, and a lift of black licorice bring seduction to the nose. With a sip, the pliant, silky tannins melt over the palate. The 2007 is dense to the core in every way, but at the same time it is open, expressive and alluring. It will drink well near term with its supple, rich tannins, but patience will be greatly rewarded, as the structure and natural acidity beneath will allow the wine to age 30 years or more. "
15055,Colgin IX Estate Red 2016,"Napa Valley, California",Red Wine,97,"A blend of Cabernet Sauvignon, Merlot, Cabernet Franc and Petit Verdot, IX Estate Red is distinguished by complex fruit interplays, a luscious nose of rustic herbs, iron, clay and black fruits, huge layers of flavor and supple, sweet tannins impeccably well-balanced. The number IX refers to the parcel number and is also significant as the date Ann and Joe were married: 9/9. The 2002 vintage was the first, of four vintages, from this property to achieve the highest accolade of “a perfect wine”. Each year the blend displays extraordinary intensity, a beautiful purity, and a remarkably long finish. Approachable when young, it ages most gracefully."
15074,Colgin Tychson Hill Vineyard Cabernet Sauvignon 2014,"Napa Valley, California",Red Wine,98,"From an exceptional site that imparts earthy, ethereal notes of power and elegance, this signature cabernet reveals intense, deep layers of crème de cassis, barbecue smoke, graphite, blackberry and freshly cut flowers that excite the palate. Incredibly long and round, it is our rarest wine, the 2002 vintage achieving our first perfect score as “a wine of enormous concentration, multiple dimensions, layers of flavor, and a sensational one minute plus finish. Its purity, harmony and symmetry are prodigious.”"
15280,Comando G Tumba del Rey Moro 2012,Spain,Red Wine,97,Tumba del Rey Moro is an absurd vineyard. It has all the appearance of the aftermath of an ancient landslide with several small natural terraces irregularly planted with vines. Until a few years ago the site was nearly inaccessible and overgrown with scrub brush. Yet when Dani and Fernando heard rumor of this plot they spent several months trying to locate it and clear a path so they could farm it. Here you can find a similar granitic sandy soil to their other sites but with more pink than grey granite as well as more quartz. Like its siblings it is pale in color but tasting it makes you wonder if this is what Marcel Lapierre could have done at Chateau Rays had he the chance.
15604,Conti Costanti Brunello di Montalcino Riserva (1.5 Liter Magnum) 2012,"Montalcino, Tuscany, Italy",Red Wine,97,"Deep ruby red with aromas of plums, smoke, and coffee. Graceful tannins and a beautiful finish. This wine is complex and austere. This wine is complex and will undoubtedly benefit from further bottle age, peaking in 5-10 years’ time. Top vintages will also have top longevity."
15609,Conti Costanti Brunello di Montalcino Riserva 2012,"Montalcino, Tuscany, Italy",Red Wine,97,"Deep ruby red with aromas of plums, smoke, and coffee. Graceful tannins and a beautiful finish. This wine is complex and austere. This wine is complex and will undoubtedly benefit from further bottle age, peaking in 5-10 years’ time. Top vintages will also have top longevity."
15616,Continuum (1.5 Liter Magnum) 2007,"Napa Valley, California",Red Wine,97,"The 2007 Continuum is a richly aromatic wine showing great balance and finesse on the palate. A unique blend, Continuum expresses the nerve and power of the Cabernet Sauvignon, the structure and exotic aromas of the Cabernet Franc and the depth and density of color of the Petit Verdot. The 2007 blend manifests this in firm yet supple tannins, a generous mid-palate with a long, nuanced finish making for a very textural, silky wine. Aromas of black currant, mulberry, and rose petal lead to cardamom, truffle and graphite flavors. A wine of exquisite power and elegance, the harmonious integration and balance make it delicious now, while assuring tremendous ageabilty. "
15622,Continuum (1.5 Liter Magnum) 2015,"Napa Valley, California",Red Wine,97,"The dark, rich core of the 2015 Continuum has aromas of cacao, black currant, cardamom and savory wild herb. On the palate it is layered and supple, revealing black cherry and roast espresso notes intertwined with mountain minerals and a hint of tangy orange spice. The wine is lush with ripe chocolaty tannins that lead to a long, expressive finish. 2015, though small in volume, is amighty vintage for Continuum; one to savor today or age and appreciate for decades to come."
15630,Continuum 2017,"Napa Valley, California",Red Wine,97,"2017 was a vintage of extremes, with abundant rain in the winter months and record-breaking heat waves during the growing season. A testament in resiliency, the wine bears the hallmarks of the elevation and terroir at Sage Mountain Vineyard, showcasing exquisite vibrancy, many layers of flavor, ferrous minerality and fragrant wild herb notes. 2017 Continuum shows freshness, hinting at rose petal on the nose with cacao, black cherry and plum giving way to a plush, silky mid palate. Fine tannins of crushed stone and subtle undertones of tapenade are present through a beautifully persistent finish. "
15634,Continuum (signed) 2007,"Napa Valley, California",Red Wine,97,"The 2007 Continuum is a richly aromatic wine showing great balance and finesseon the palate. A unique blend, Continuum expresses the nerve and power of the Cabernet Sauvignon,the structure and exotic aromas of the Cabernet Franc and the depth and density of color of the PetitVerdot. The 2007 blend manifests this in firm yet supple tannins, a generous mid-palate with a long,nuanced finish making for a very textural, silky wine. Aromas of black currant, mulberry, and rosepetal lead to cardamom, truffle and graphite flavors. A wine of exquisite power and elegance, theharmonious integration and balance make it delicious now, while assuring tremendous ageabilty."
15822,Coup de Foudre Cabernet Sauvignon 2004,"Napa Valley, California",Red Wine,98,This first vintage of Coup de Foudre will pleasure your palate in a multi-dimensional manner. 
16126,Cullen Vanya Cabernet Sauvignon 2012,"Margaret River, Western Australia, Australia",Red Wine,97,"Very rarely a vintage occurs which presents us with a unique opportunity to create something truly special. The 2012 vintage was an exceptional year, and allowed us the privilege to produce an extraordinary wine. This wine of the 2012 vintage is a tribute to the land and the vines it came from. Pure expression of a great year. No additions of yeast, acid, malolactic culture, fining or filtration. The wines grown on these ancient soils are certified biodynamic, carbon neutral and powered naturally by solar power."
16274,Dal Forno Romano Monte Lodoletta Amarone della Valpolicella 2013,"Valpolicella, Veneto, Italy",Red Wine,98,"The Dal Forno family has been making wine since 1983. Located in Val D’Illasi, the estate consists of 65 acres of vines planted to traditional indigenous varieties of Corvina, Corvinone, Rondinella, Oseleta and Croatina. The estate vineyards and farm are located where the slopes begin to rise toward the mountains and sit 1,000 feet above sea level. The loose, alluvial soils, meticulous pruning and scrupulous viticultural techniques ensure remarkable-quality grapes. The Dal Fornos use traditional methods to grow the finest fruit, and then employ modern techniques to produce the best wines — classic in expression and modern in purity. "
16309,Dalla Valle Maya Proprietary Red Blend 1994,"Napa Valley, California",Red Wine,99,"Dense garnet to violet, viscous mouth feel. Bright ripe fruit, beautiful floral and intense dark fruit aromas that are expansive in the mouth and evocative of sweet violets, raspberries, blackberries and some woodsy notes. The wine is rich and dense with an excellent balance of black fruit to tannins. Completely balanced. Overall impression is of lots of fruit and lots of tannins with lots of layers and depths. Unified and seamless, elixir like. "
16313,Dalla Valle Maya Proprietary Red Blend 2001,"Oakville, Napa Valley, California",Red Wine,98,"This jewel in the crown originates in the remarkable vineyard that shares its name. A proprietary blend aged in primarily new French oak, Maya showcases the site's exceptional Cabernet Franc; it is graceful and alluring with an unmistakable pedigree. Fewer than 500 cases are produced each year."
16316,Dalla Valle Maya Proprietary Red Blend 2007,"Oakville, Napa Valley, California",Red Wine,97,"This is a powerhouse of a wine, packed with fruit and with an aromatic expression that excites the senses. From the minute the cork is pulled, notes of chocolate, smoke, camphor, and ripe delicious fruit fill the room. In spite of the wine’s considerable density, the intense flavors arrive with a freshness and balance that is remarkable. There is great complexity of flavor, and a firm structure, with notes of blackberry, cassis and graphite coming from the Cabernet Sauvignon, and the Cabernet Franc adding elements of crushed stones and anise. This wine, from a phenomenal vintage, should age for a long time to come. In 20 years it should just becoming into its own."
16319,Dalla Valle Maya Proprietary Red Blend 2010,"Napa Valley, California",Red Wine,98,"This jewel in the crown originates in the remarkable vineyard that shares its name. A proprietary blend aged in primarily new French oak, Maya showcases the site's exceptional Cabernet Franc; it is graceful and alluring with an unmistakable pedigree. Fewer than 500 cases are produced each year."
16324,Dalla Valle Maya Proprietary Red Blend 2015,"Oakville, Napa Valley, California",Red Wine,98,"The 2015 Maya shows the great potential of the vintage. Its red-purple hue belies the wine’s brightness and fresh aromatic quality, with tones of fresh-cut strawberry, cardamom, and flint. This blend of Cabernet Sauvignon and Cabernet Franc exhibits a combination of depth, richness, and laser-like focus, delivering a rush of red and black fruit flavors, along with notes of cured meats and salted black licorice. The texture is soft and silky, but at the same time powerful and incredibly lengthy. This vintage of Maya is accessible today, but will absolutely continue to develop, and will last decades in the bottle."
16326,Dalla Valle Maya Proprietary Red Blend (6 Liter Bottle) 1997,"Oakville, Napa Valley, California",Red Wine,99,"More refined on the nose, the flavors of blackcurrant, cedar, espresso beans and rich cream are delicate and complex. The wine still has all its youth with great purity and focus; it is layered with aromas of cider, black fruits and spice box and oak finishing with ripe and muscular tannins. For full expression, it will need to be decanted half hour before pouring."
16327,Dalla Valle Maya Proprietary Red Blend (scuffed label) 1997,"Napa Valley, California",Red Wine,99,"Pure Maya! Sweet, ripe fruit and a full, round mouth feel. Big massive, muscular wine and still a bit closed. Pronounced fruit with mineral components. The wine is austere and has lots of sophistication. Less acid, more oak, and excellent tannin management."
16390,Dana Estates Hershey Vineyard Cabernet Sauvignon 2012,"Napa Valley, California",Red Wine,98,"Dark fruit and baking spices spring from the glass. The palate is dominated by ripe black and red fruit, intense minerality and a tannin profile that is pure unadulterated Hershey, the purest form of Howell Mountain. The slightest chalk and ash notes layered with fruit, anise and forest abound in the finish. Best enjoyed 2017 through 2030."
16391,Dana Estates Hershey Vineyard Cabernet Sauvignon 2016,"Howell Mountain, Napa Valley, California",Red Wine,98,"The 2016 Hershey exhibits the complexity and minerality that define this mountain vineyard. The wine opens with notes of red currant, blackberries, mingled with notes of espresso, bitter orange zest and dried herbs. The rich mountain tannins frame a creamy entry onto the palate. The wine builds across the palate with flavors of plums, currants, and bitter chocolate that meld with hints of sage, forest floor and an intriguing salinity. The vibrancy makes the wine enticing now, thought it will age gracefully through 2036."
16395,Dana Estates Lotus Vineyard Cabernet Sauvignon 2016,"Napa Valley, California",Red Wine,99,"The 2016 Lotus displays aromas of black cherry, berry compote, wet stone, and wet earth. The wine is full bodied with a creamy texture. It captures the essence of Lotus Vineyard in its firm structure and concentration while retaining vibrancy and balance. Classic black fruits and warm spice flavors coat the palate mingling with hints of dried herbs and a firm structured finish. Enjoy 2020 through 2038 and beyond."
16547,d'Arenberg The Dead Arm Shiraz 2001,"McLaren Vale, South Australia, Australia",Red Wine,98,"Upon release d'Arenberg's The Dead Arm Shiraz has a vivid young deep brick-red colour. The nose shows intense and complex cedary, fig, blackberry and blueberry like smells occasionally pepper/spice smells too. Vanilla mocha oak smells and attacking blackberry, cassis characters are also evident on the palate. Full, intense sweet, cedary middle palate flavours have a distinctly silky, svelte texture deceptively disguise the rich powerful cassis and toffee-mocha flavours. The accent is on powerful full bodied berry fruit flavour, with a little sweet English toffee like oak evident on the juicy, rolling finish."
16980,Delas Cote Rotie La Landonne 2009,"Cote Rotie, Rhone, France",Red Wine,98,"The wine's deep color is underscored by plummy hues. A complex nose shows deep, fruity aromas with hints of licorice and roasted coffee. Endowed with a dense and silky tannic structure, this is a full, fleshy wine that provides an ample and generous palate. Its lasting finish speaks of considerable ageing potential."
17010,Delas Hermitage Domaine des Tourette 2009,"Hermitage, Rhone, France",Red Wine,98,"The wine has a deep garnet-red hue with purple tinges. The nose, as with all good Hermitages, is both intense and complex. Domaine des Tourettes 2009 also shows concentrated aromas of fruit, with hints of blackberries and dark cherry. Oak underscores these with notes of toast and chocolate. On the palate the wine is well-built and its ample volume reveals the fine qualities of its granite terroir, finishing with a refreshing mineral-like edge. "
17230,Department 66 Pharaon 2015,France,Red Wine,97,"Provocative aromas of sweet oak, dark chocolate liqueur, Tahitian vanilla, sage, and plum saturate the glass in a beguiling complexion of aubergine. Sapid flavors of rhubarb, savory red fruits, and boysenberries are evident and harmoniously blend with mineral notes and schistous highlights. The tannins are firm but agreeable and primed for extended aging. Finishing with a spirited acidity, the wine elegantly charms the palate indefinitely."
17342,Diamond Creek Red Rock Terrace Cabernet Sauvignon (1.5 Liter Magnum) 2013,"Diamond Mountain District, Napa Valley, California",Red Wine,99,"Red Rock Terrace has velvety tannins. The wine is rich and well balanced, medium dark ruby color with cherry, mint and black currant flavors."
17357,Diamond Creek Red Rock Terrace Cabernet Sauvignon 2013,"Diamond Mountain District, Napa Valley, California",Red Wine,99,"Red Rock Terrace has velvety tannins. The wine is rich and well balanced, medium dark ruby color with cherry, mint and black currant flavors."
